band_bound,band_pct,band_slug,n_simulations,benchmark_point_mean_mean,benchmark_point_mean_std,benchmark_point_stddev_mean,benchmark_point_stddev_std,benchmark_point_cvar_50_mean,benchmark_point_cvar_50_std,benchmark_point_cvar_95_mean,benchmark_point_cvar_95_std,benchmark_point_cvar_99_mean,benchmark_point_cvar_99_std,benchmark_point_mae_mean,benchmark_point_mae_std,benchmark_point_worstcase_mean,benchmark_point_worstcase_std,benchmark_empirical_mean_error_mean,benchmark_empirical_mean_error_std,benchmark_empirical_std_error_mean,benchmark_empirical_std_error_std,benchmark_empirical_mae_error_mean,benchmark_empirical_mae_error_std,benchmark_empirical_mse_error_mean,benchmark_empirical_mse_error_std,benchmark_empirical_worst_case_mean,benchmark_empirical_worst_case_std,benchmark_empirical_var_95_mean,benchmark_empirical_var_95_std,benchmark_empirical_var_99_mean,benchmark_empirical_var_99_std,benchmark_empirical_q_1pct_mean,benchmark_empirical_q_1pct_std,benchmark_empirical_q_0_5pct_mean,benchmark_empirical_q_0_5pct_std,benchmark_empirical_q_0_1pct_mean,benchmark_empirical_q_0_1pct_std,benchmark_empirical_cvar_50_mean,benchmark_empirical_cvar_50_std,benchmark_empirical_cvar_90_mean,benchmark_empirical_cvar_90_std,benchmark_empirical_cvar_95_mean,benchmark_empirical_cvar_95_std,benchmark_empirical_cvar_99_mean,benchmark_empirical_cvar_99_std,benchmark_empirical_es_95_mean,benchmark_empirical_es_95_std,benchmark_empirical_es_99_mean,benchmark_empirical_es_99_std,benchmark_empirical_exceedance_left_1pct_mean,benchmark_empirical_exceedance_left_1pct_std,benchmark_empirical_exceedance_left_0_1pct_mean,benchmark_empirical_exceedance_left_0_1pct_std
0.0,0.0,0000,1,-0.0014644648181274,0.0,0.3433088064193725,0.0,2.438687562942505,0.0,2.8877944946289062,0.0,3.146376609802246,0.0,2.2013192176818848,0.0,3.7111120223999023,0.0,-0.0014644655227661,0.0,0.3433087796066665,0.0,0.2705487250328064,0.0,0.1178630628142861,0.0,1.606653094291687,0.0,0.5707261681556701,0.0,0.8534812021255493,0.0,-0.8534812021255493,0.0,-0.958874852657318,0.0,-1.1899739264249802,0.0,0.2719776535749435,0.0,0.6224143844842911,0.0,0.7448827028274536,0.0,1.009878375530243,0.0,0.7448827028274536,0.0,1.009878375530243,0.0,0.01,0.0,0.001,0.0
0.01,1.0,0010,1,-0.0013939159689471,0.0,0.3433008193969726,0.0,2.4385945796966557,0.0,2.888052701950073,0.0,3.1463098526000977,0.0,2.201248407363892,0.0,3.710814476013184,0.0,-0.0013939160943031,0.0,0.3433008245436897,0.0,0.2705514583945274,0.0,0.1178573991344552,0.0,1.6115542650222778,0.0,0.5718977391719818,0.0,0.8536279511451721,0.0,-0.8536279511451721,0.0,-0.9677211713790892,0.0,-1.18964197742939,0.0,0.2719132088899612,0.0,0.6224166309833526,0.0,0.7450630414485931,0.0,1.0098393940925598,0.0,0.7450630414485931,0.0,1.0098393940925598,0.0,0.01,0.0,0.001,0.0
0.02,2.0,0020,1,-0.0013244585134088,0.0,0.3436159193515777,0.0,2.4388155937194824,0.0,2.889389753341675,0.0,3.1483938694000244,0.0,2.201178550720215,0.0,3.712778806686402,0.0,-0.0013244571089744,0.0,0.3436159194459785,0.0,0.2707854370713234,0.0,0.1180736542833387,0.0,1.599744439125061,0.0,0.5698112845420837,0.0,0.8536199355125427,0.0,-0.8536199355125427,0.0,-0.9701971328258514,0.0,-1.189653500676155,0.0,0.2720714615106582,0.0,0.6229785588979722,0.0,0.7461949408054351,0.0,1.0123900711536409,0.0,0.7461949408054351,0.0,1.0123900711536409,0.0,0.01,0.0,0.001,0.0
0.03,3.0,0030,1,-0.0014448267174884,0.0,0.3448253870010376,0.0,2.439810276031494,0.0,2.893139123916626,0.0,3.1506993770599365,0.0,2.2012996673583984,0.0,3.707919597625733,0.0,-0.0014448248267173,0.0,0.3448253860116118,0.0,0.2716535087704658,0.0,0.1189066343568369,0.0,1.6106404066085815,0.0,0.5772932529449463,0.0,0.8610512936115264,0.0,-0.8610512936115264,0.0,-0.9624576848745346,0.0,-1.2074951702356338,0.0,0.2730738545417785,0.0,0.6264028193950653,0.0,0.7497082736492157,0.0,1.013820353746414,0.0,0.7497082736492157,0.0,1.013820353746414,0.0,0.01,0.0,0.001,0.0
0.04,4.0,0040,1,-0.0010928160045295,0.0,0.3463968336582184,0.0,2.441195011138916,0.0,2.8976705074310303,0.0,3.1588680744171143,0.0,2.200945377349853,0.0,3.716005802154541,0.0,-0.0010928156852722,0.0,0.3463968250932857,0.0,0.2728370898485184,0.0,0.1199919546808303,0.0,1.6097851991653442,0.0,0.5808725893497467,0.0,0.8626503753662109,0.0,-0.8626503753662109,0.0,-0.957768560051918,0.0,-1.1902224642038346,0.0,0.2738825067520141,0.0,0.62947341132164,0.0,0.7552578053474426,0.0,1.016903026103973,0.0,0.7552578053474426,0.0,1.016903026103973,0.0,0.01,0.0,0.001,0.0
0.05,5.0,0050,1,-0.0012163852807134,0.0,0.3485976159572601,0.0,2.4430994987487797,0.0,2.9051878452301025,0.0,3.1607162952423096,0.0,2.2010698318481445,0.0,3.685574769973755,0.0,-0.0012163858652114,0.0,0.3485975992253902,0.0,0.2746009477138519,0.0,0.1215217657802788,0.0,1.6245959997177124,0.0,0.5898194670677185,0.0,0.8726575648784637,0.0,-0.8726575648784637,0.0,-0.9773639804124832,0.0,-1.204208434343338,0.0,0.2757415657520294,0.0,0.6348197399377823,0.0,0.761898565530777,0.0,1.0245658087730407,0.0,0.761898565530777,0.0,1.0245658087730407,0.0,0.01,0.0,0.001,0.0
0.06,6.0,0060,1,-0.0012977377045899,0.0,0.3523633778095245,0.0,2.446678400039673,0.0,2.915086507797241,0.0,3.168465614318848,0.0,2.2011516094207764,0.0,3.730305433273315,0.0,-0.0012977380990982,0.0,0.3523633636741271,0.0,0.2774190875530243,0.0,0.124161624183919,0.0,1.6265054941177368,0.0,0.5966064691543579,0.0,0.8942314755916595,0.0,-0.8942314755916595,0.0,-0.99329962849617,0.0,-1.2893936128616332,0.0,0.2786399402141571,0.0,0.644082044839859,0.0,0.7722342200279236,0.0,1.04362450838089,0.0,0.7722342200279236,0.0,1.04362450838089,0.0,0.01,0.0,0.001,0.0
0.07,7.000000000000001,0070,1,-0.0004751892120111,0.0,0.3560483157634735,0.0,2.449232339859009,0.0,2.923793315887451,0.0,3.168972969055176,0.0,2.200324296951294,0.0,3.6651828289031982,0.0,-0.0004751900434494,0.0,0.3560483280732655,0.0,0.2807198535442352,0.0,0.126770637729345,0.0,1.6293383836746216,0.0,0.6011306524276734,0.0,0.8992838215827942,0.0,-0.8992838215827942,0.0,-0.9748007494211196,0.0,-1.2283770956993103,0.0,0.2811231581449508,0.0,0.6501290173530578,0.0,0.78018532538414,0.0,1.04426225066185,0.0,0.78018532538414,0.0,1.04426225066185,0.0,0.01,0.0,0.001,0.0
0.08,8.0,0080,1,-0.0011320785852149,0.0,0.3604261577129364,0.0,2.453852653503418,0.0,2.932846546173096,0.0,3.181774854660034,0.0,2.2009849548339844,0.0,3.6275463104248047,0.0,-0.0011320769786834,0.0,0.3604261635549942,0.0,0.2847818094491958,0.0,0.129908300973257,0.0,1.6293383836746216,0.0,0.6068638682365417,0.0,0.9083561015129088,0.0,-0.9083561015129088,0.0,-1.007503953576088,0.0,-1.2643825378417968,0.0,0.2858357144117355,0.0,0.6589833400249481,0.0,0.7889147636890411,0.0,1.0528626883029937,0.0,0.7889147636890411,0.0,1.0528626883029937,0.0,0.01,0.0,0.001,0.0
0.09,9.0,0090,1,-0.0009955251589417,0.0,0.3654278516769409,0.0,2.458420515060425,0.0,2.943375587463379,0.0,3.1960408687591557,0.0,2.200847625732422,0.0,3.8245832920074463,0.0,-0.0009955259084701,0.0,0.3654278520549301,0.0,0.2883947106599808,0.0,0.1335385061293143,0.0,1.6630027294158936,0.0,0.6162970662117004,0.0,0.903747022151947,0.0,-0.903747022151947,0.0,-1.0172386133670808,0.0,-1.2671793771982194,0.0,0.2892884752273559,0.0,0.6681146368980407,0.0,0.7984579041004181,0.0,1.072532799243927,0.0,0.7984579041004181,0.0,1.072532799243927,0.0,0.01,0.0,0.001,0.0
